"POOL_ADDRESS","POOL_NAME","TOTALVALUELOCKEDUSD","TOKEN0_ADDRESS","TOKEN1_ADDRESS","TOKEN0_SYMBOL","TOKEN1_SYMBOL"
"0xf1b5cf831ced19136472b2b385f30384ce14a982","Uniswap V3 Tamadoge/Wrapped Ether 1%",6676003,"0x12b6893ce26ea6341919fe289212ef77e51688c8","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","TAMA","WETH"
"0x99132b53ab44694eeb372e87bced3929e4ab8456","Uniswap V3 SingularityNET Token/Wrapped Ether 1%",6607881,"0x5b7533812759b45c2b44c19e320ba2cd2681b542","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","AGIX","WETH"
"0xe15e6583425700993bd08f51bf6e7b73cd5da91b","Uniswap V3 Wrapped BTC/Badger 0.3%",6564686,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0x3472a5a71965499acd81997a54bba8d852c6e53d","WBTC","BADGER"
"0x68082ecc5bbad8fe77c2cb9d0e3403d9a00ccbc2","Uniswap V3 Wrapped DogeCoin/Wrapped Ether 1%",5883529,"0x35a532d376ffd9a705d0bb319532837337a398e7","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WDOGE","WETH"
"0xf935f557e06a7d040dea4691f90c9a755301818b","Uniswap V3 SpongeBob/Wrapped Ether 0.3%",5660219,"0x25722cd432d02895d9be45f5deb60fc479c8781e","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","SPONGE","WETH"
"0xd340b57aacdd10f96fc1cf10e15921936f41e29c","Uniswap V3 Wrapped liquid staked Ether 2.0/Wrapped Ether 0.05%",5655490,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","wstETH","WETH"
"0x992f534fcc87864875224d142d6bf054b1882160","Uniswap V3 StakeWise/StakeWise Staked ETH2 0.3%",5311604,"0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2","0xfe2e637202056d30016725477c5da089ab0a043a","SWISE","sETH2"
"0xc1cd3d0913f4633b43fcddbcd7342bc9b71c676f","Uniswap V3 Instadapp/Wrapped Ether 1%",5266122,"0x6f40d4a6237c257fff2db00fa0510deeecd303eb","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","INST","WETH"
"0x11950d141ecb863f01007add7d1a342041227b58","Uniswap V3 Pepe/Wrapped Ether 0.3%",5126763,"0x6982508145454ce325ddbe47a25d4ec3d2311933","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","PEPE","WETH"
"0x07a6e955ba4345bae83ac2a6faa771fddd8a2011","Uniswap V3 Matic Token/USD Coin 0.3%",5086743,"0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","MATIC","USDC"
